11
abord, bardo, board, broad, dobra, dorab
acinar, arnica, canari, carian, carina, crania
acrid, caird, carid, darci, daric, dirca
acrolein, arecolin, caroline, colinear, cornelia, creolian
agnel, angel, angle, galen, genal, glean
albeit, albite, baltei, belait, betail, bletia
alcor, calor, carlo, carol, claro, coral
balder, bardel, bedlar, bedral, belard, blader
caret, carte, cater, crate, creat, creta
danuri, diurna, dunair, durain, durani, durian
derange, enraged, gardeen, gerenda, grandee, grenade
